INFORMATICA_USER,WORKFLOW,FULLPATH,PARAMETER_FILE,CONNECTIONS,USE_TNS,COMMENT
INFO_REP_PROD,wf_ACCOUNT_UPDATER_Reconciliation,$PMRootDir/Scripts/account_updater/reconciliation/au_recon_logic.py,$PMRootDir/Scripts/account_updater/reconciliation/au_recon.conf,"eMail server, ACCOUNT_UPDATER",N,
INFO_REP_PROD_PCI,wf_GET_INTERMEDIATE_SERVER_AU_FILES,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/Remove_invalid_files.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,SafeNet,,
INFO_REP_PROD_PCI,wf_GET_INTERMEDIATE_SERVER_AU_FILES,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/get_intermediate_server_files.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,"ACCOUNT_UPDATER SFTP, ACCOUNT_UPDATER, SafeNet",N,
INFO_REP_PROD_PCI,wf_GET_INTERMEDIATE_SERVER_AU_FILES,$PMRootDir/Scripts/account_updater/reconciliation/get_monthly_reports.py,$PMRootDir/Scripts/account_updater/reconciliation/au_recon.conf,ACCOUNT_UPDATER SFTP,,
INFO_REP_PROD,wf_MERCHANT_STATEMENT_TRANSFORMER_DB,report-hub,zookeaper,"report-hub, zookeaper, STG, TRANSFORMER, netsuite, sg, eMail server",N,
INFO_REP_PROD,wf_MERCHANT_STATEMENT_TRANSFORMER_DB,transformer-hub,/apps/transformer2/conf/conf.prop,"transformer-hub, TRANSFORMER, STG, sg, eMail server",N,
INFO_REP_PROD,wf_PARTNER_STATEMENT_TRANSFORMER_DB,report-hub,zookeaper,"report-hub, zookeaper, STG, TRANSFORMER, netsuite, sg, eMail server",N,
INFO_REP_PROD,wf_PARTNER_STATEMENT_TRANSFORMER_DB,transformer-hub,/apps/transformer2/conf/conf.prop,"transformer-hub, TRANSFORMER, STG, sg, eMail server",N,
INFO_REP_PROD,wf_opt_transformer,$PMSourceFileDir/Transformer/Create_Bulk_List/create_bulk_list.py,"$PMSourceFileDir/Transformer/Create_Bulk_List/create_bulk_list.param
$PMRootDir/ParamFiles/TRANSFORMER_to_ODS.param","STG, TRANSFORMER",Y,
INFO_REP_PROD,wf_Statements_Ready_Indication,$PMRootDir/Scripts/oracle_dependency_check_DS.sh,,WAY4_APP_BO,Y,
INFO_REP_PROD,wf_GL_EXTRACTS_to_ODS_all,,,"TRANSFORMER_ODS, STG",,
INFO_REP_PROD_PCI,wf_GL_EXTRACTS_TRANSFORM_all,,,"TRANSFORMER_ODS, STG, WAY4_APP_BO, CRM_ODS, INTERFACES, GENERAL_ODS",,
INFO_REP_PROD_PCI,wf_GL_EXTRACTS_TRANSFORM,$PMSourceFileDir/Validation_Config/validation_config.py,$PMSourceFileDir/Validation_Config/valdiation_config.param,"eMail server, STG",YES,
INFO_REP_PROD_PCI,wf_GL_FX_TRANSFORM_RERUN_all,,,"TRANSFORMER_ODS, STG",,
INFO_REP_PROD_PCI,wf_GL_FX_TRANSFORM_all,,,"TRANSFORMER_ODS, STG, WAY4_APP_BO",,
INFO_REP_PROD_PCI,wf_GL_FX_TRANSFORM,$PMSourceFileDir/Validation_Config/validation_config.py,$PMSourceFileDir/Validation_Config/valdiation_config.param,"eMail server, STG",YES,
INFO_REP_PROD,wf_Outbound_Rest_Transactions,$PMRootDir/Scripts/send_rest_trans_non_PCI.sh,,,,
INFO_REP_PROD,wf_Outbound_Rest_Transactions,/apps/informatica/infa_shared/Scripts/rest_transaction_worker.sh,OUTBOUND_REST_TRANSACTIONS,CBS,,
INFO_REP_PROD_PCI,wf_MANUAL_ADJUSTMENTS_RESP,$PMRootDir/Scripts/ma_all_files.sh,STG_PARAMETERS,,,
INFO_REP_PROD_PCI,wf_MANUAL_ADJUSTMENTS_RESP,$PMSourceFileDir/Validation_Config/validation_config.py,$PMSourceFileDir/Validation_Config/valdiation_config.param,"eMail server, STG",YES,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_REQUEST_ALL_CONNECTIONS,,,"MySQL_BRAIN, MySQL_MERCHTOOL_TREXARCDB01, ACCOUNT_UPDATER, STG",,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_REQUEST,$PMRootDir/Scripts/MERCHANT_TOOL/delete_stg_files.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_REQUEST,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/handle_json.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,"SafeNet, ACCOUNT_UPDATER, MySQL_MERCHTOOL_TREXARCDB01",N,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_REQUEST,$PMRootDir/Scripts/MERCHANT_TOOL/safenet_encrypt_conf_files/safenet.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_REQUEST,$PMRootDir/Scripts/MERCHANT_TOOL/safenet_decrypt_conf_files/safenet.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_REQUEST,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/send_files_to_intermediate_server.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,ACCOUNT_UPDATER SFTP,N,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_MC_ALL_CONNECTIONS,,,"STG, ACCOUNT_UPDATER",,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_MC,$PMRootDir/Scripts/MERCHANT_TOOL/safenet_encrypt_conf_files/safenet.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_MC,$PMRootDir/Scripts/MERCHANT_TOOL/safenet_decrypt_conf_files/safenet.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_MC,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/dependency_check_response_files_mc.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,"ACCOUNT_UPDATER, SafeNet",N,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_MC,$PMRootDir/Scripts/MERCHANT_TOOL/decrypt_stg_file.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_MC,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/send_api_response.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,"ACCOUNT_UPDATER, MySQL_MERCHTOOL_TREXARCDB01, Credonote, SafeNet",N,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_MC,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/remove_processed_files.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA_ALL_CONNECTIONS,,,"STG, ACCOUNT_UPDATER",,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA,$PMRootDir/Scripts/MERCHANT_TOOL/safenet_encrypt_conf_files/safenet.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA,$PMRootDir/Scripts/MERCHANT_TOOL/safenet_decrypt_conf_files/safenet.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/dependency_check_response_files_visa.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,ACCOUNT_UPDATER,N,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/decrypt_inc_responses.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/parse_visa_error_response.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA,$PMRootDir/Scripts/MERCHANT_TOOL/decrypt_stg_file.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/send_api_response.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,"ACCOUNT_UPDATER, MySQL_MERCHTOOL_TREXARCDB01, Credonote, SafeNet",N,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_VISA,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/remove_processed_files.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_INVALID_ALL_CONNECTIONS,,,"STG, ACCOUNT_UPDATER",,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_INVALID,$PMRootDir/Scripts/MERCHANT_TOOL/safenet_encrypt_conf_files/safenet.sh,,SafeNet,,
